,j,h,winner_mon,winner_t,loser_t,loser_mon,mean,t_com,t_sim
0,20.0,10.0,0.46832757589600016,6.331501323416844,7.118096215846762,0.5252434258310001,-0.056915849934999985,-0.1098,-1.464
1,20.0,20.0,0.7902883406825838,4.7681630892748075,4.925029110276469,0.47505075231735683,0.315237588365227,0.5124,3.6734
2,20.0,30.0,0.48019999999999996,2.279947849790919,4.152760641031938,1.1100000000000003,-0.6298000000000004,-0.7555,-3.4648
3,20.0,40.0,0.7995728854832296,2.662042011085344,3.49962176312266,0.7213707576794373,0.07820212780379232,0.1166,0.7797
4,20.0,50.0,0.6010220723135473,1.7562882497505738,2.3729071707030376,0.5720429444304782,0.02897912788306911,0.0459,0.2663
5,20.0,60.0,0.31882523482074765,1.253346922003515,1.966979471608725,0.7334070497145211,-0.41458181489377344,-0.6204,-2.943
6,20.0,70.0,0.29243296205446767,2.6101175202523437,56.43466356781043,0.5332750558244788,-0.2408420937700111,-1.9982,-2.5891
7,40.0,10.0,0.5480138424320002,5.484982658348987,6.674532318272749,0.5803529297920003,-0.03233908736000002,-0.0513,-0.8062
8,40.0,20.0,1.0672714104229275,4.4359487533252935,4.407448270105948,0.551509433038678,0.5157619773842494,0.6236,4.0828
9,40.0,30.0,1.5029,2.765530456950227,2.5872621521080434,1.2915,0.2113999999999998,0.1281,2.121
10,40.0,40.0,1.8538978496717142,1.998987728524132,2.4539385617358147,0.4113387366737533,1.442559112997961,0.7987,1.8918
11,40.0,50.0,0.3047895566110941,1.2754911570230085,2.2349020370181907,0.7490727887427155,-0.44428323213162146,-0.6943,-3.8973
12,40.0,60.0,0.5729589950154452,2.711641035110194,3.5438036017252545,0.8014993755202915,-0.22854038050484626,-0.6532,-0.6551
13,40.0,70.0,0.35979223813666317,1.3933085694892275,1.5345586136883023,1.330679153310308,-0.9708869151736448,-0.8864,-1.5669
14,60.0,10.0,0.7210972119039996,5.526582701520296,5.191184496857312,0.6724462030000002,0.048651008903999315,0.0575,0.4533
15,60.0,20.0,0.9773623545177552,3.676101752173531,4.635953704983133,0.7245811283732058,0.25278122614454945,0.2838,1.8369
16,60.0,30.0,2.0682,2.378526886042362,2.962297880067137,0.47140000000000004,1.5968,0.8078,2.0967
17,60.0,40.0,0.9594778085881435,2.0125674045274677,2.4178753190508044,1.8263585852362398,-0.8668807766480964,-0.6217,-2.9828
18,60.0,50.0,0.45085394841658144,1.3297983125632353,1.5904671565555366,0.687931157215325,-0.2370772087987436,-0.283,-2.3133
19,60.0,60.0,0.7233107670991905,1.4018371155476805,1.49199252398856,0.6861494595675675,0.037161307531623056,0.0479,0.7461
20,60.0,70.0,-0.3973282056151888,,,-0.3568111498050872,-0.040517055810101565,,
21,70.0,10.0,0.510187880817,5.218305126229361,5.18223835840227,0.7971586483119999,-0.28697076749499995,-0.3639,-2.3579
22,70.0,20.0,0.51053674802204,2.7215141381207832,3.3920454881286948,0.7899240784145007,-0.2793873303924608,-0.3279,-2.5209
23,70.0,30.0,1.5788000000000002,2.2018628101610416,2.249289254147956,1.1742999999999997,0.4045000000000005,0.228,2.0338
24,70.0,40.0,0.834177134861745,1.7030454296755695,2.484109649476148,0.9637316614511648,-0.1295545265894198,-0.1316,-0.6911
25,70.0,50.0,0.9441033021235703,1.3381640677958662,1.6559652897524526,0.7540691231312202,0.1900341789923501,0.1893,0.824
26,70.0,60.0,-0.4110178270949112,,,-0.33156900131726386,-0.07944882577764734,,
27,70.0,70.0,0.6281373340785998,1.0665340397676595,1.1417908005012845,0.742779895921504,-0.11464256184290411,-0.1241,-1.5828
