,10.0,20.0,30.0,40.0,50.0,60.0,70.0,port
0,6.331501323416844,4.768163089274808,2.279947849790919,2.662042011085344,1.7562882497505738,1.253346922003515,2.610117520252344,winner
1,7.118096215846762,4.925029110276469,4.152760641031938,3.49962176312266,2.3729071707030376,1.9669794716087252,56.43466356781043,loser
2,-1.464,3.6734,-3.4648,0.7797,0.2663,-2.943,-2.5891,w_l
3,5.484982658348987,4.4359487533252935,2.765530456950227,1.9989877285241318,1.2754911570230083,2.711641035110194,1.3933085694892275,winner
4,6.67453231827275,4.407448270105949,2.5872621521080434,2.4539385617358147,2.2349020370181907,3.5438036017252545,1.5345586136883025,loser
5,-0.8062,4.0828,2.121,1.8918,-3.8973,-0.6551,-1.5669,w_l
6,5.526582701520296,3.676101752173531,2.378526886042362,2.012567404527468,1.329798312563235,1.4018371155476803,,winner
7,5.1911844968573115,4.635953704983133,2.962297880067137,2.4178753190508044,1.5904671565555366,1.49199252398856,,loser
8,0.4533,1.8369,2.0967,-2.9828,-2.3133,0.7461,,w_l
9,5.218305126229361,2.7215141381207832,2.2018628101610416,1.7030454296755697,1.3381640677958662,,1.0665340397676597,winner
10,5.1822383584022695,3.3920454881286948,2.249289254147956,2.484109649476148,1.6559652897524526,,1.1417908005012845,loser
11,-2.3579,-2.5209,2.0338,-0.6911,0.8240000000000001,,-1.5828,w_l
