date,Open,High,Low,Close,Volume
20150101,101.3595256145,102.15319739700001,98.8187231782,100.0000000001,
20150102,99.9137268827,101.86855536700001,98.7938353569,100.21779707719999,
20150103,100.25275172139999,101.5401970134,88.74424969030001,89.3769338234,
20150104,89.24794590629999,91.16557625780001,79.8709630776,82.21323090140001,
20150105,82.3483766458,88.3189519934,81.5786876305,86.2289077816,
20150106,86.2563607833,90.9456953621,84.7404427326,89.6425489618,
20150107,89.6967100217,95.24831713020001,87.8271511786,93.64201807719999,
20150108,92.51353924629998,93.69412214319999,87.3954553923,88.77823179139999,
20150109,88.57877705610001,93.3621432292,86.6908691879,92.31179323479999,
20150110,91.9491779614,92.6549900892,82.6262180749,83.9010317508,
20150111,83.8751228668,86.2678064335,80.5306915775,81.54887283640001,
20150112,81.5886812801,83.9634841644,79.8556933301,81.6290384807,
20150113,81.52259252430001,86.546840276,66.9290953148,70.0390038412,
20150114,69.1269328383,75.8812016554,54.708371831099996,57.720482987,
20150115,57.457955128100004,72.6714884387,56.498924723900004,67.43440355770001,
20150116,67.251260868,71.5177517435,63.8277985899,66.7010722535,
20150117,66.605147213,67.90774028,61.4764463692,63.123343148000004,
20150118,63.342840636000005,69.04496957939999,61.474366687,66.18337982930001,
20150119,66.4538516671,68.99768947060001,64.5486214046,67.1326566335,
20150120,66.6381880479,68.1824998203,64.2757086485,66.6192711559,
20150121,66.6378844654,71.95750561050001,65.8205959969,71.0713706262,
20150122,71.0610278244,74.561348798,69.79841920220001,72.62614341449999,
20150123,72.6206128841,73.70714926859999,69.587107487,72.2905073129,
20150124,72.22664748449999,78.1582778615,71.0362514272,77.3603547734,
20150125,77.2043312972,81.7934419613,74.9073449615,79.609959273,
20150126,79.6932906854,92.71097041530001,77.24810145720001,81.3947259469,
20150127,81.2922380956,83.21163973670001,74.48236362729999,79.3070374535,
20150128,79.2496058743,81.2507684708,69.43697620100001,71.639203547,
20150129,71.5811461129,74.2232417975,67.5994683812,71.159731254,
20150130,70.9708198263,74.1000196105,68.6658016708,69.18764189939999,
20150131,69.2035559374,72.4130333525,66.5724068606,67.3084897441,
20150201,67.3742900797,70.8973366236,64.7923803879,69.1335160707,
20150202,69.0360764929,72.7733457668,66.85888945010001,71.0773237153,
20150203,70.9540541367,73.2944909683,66.712295072,67.6654090978,
20150204,67.7099209029,69.5084513039,65.6553997696,68.2052977902,
20150205,68.3159120796,71.5395721545,64.6760939092,66.4891535625,
20150206,66.5369430395,70.6313493898,65.79063981979999,68.0335938731,
20150207,68.1018042625,70.45558898899999,67.017247293,68.7319853887,
20150208,68.7824671816,69.6159382055,66.5589855437,67.5529271283,
20150209,67.5642833491,70.65129154739999,65.3607033035,66.8299925993,
20150210,66.88976721569999,68.41696072090001,64.750682239,66.6280085973,
20150211,66.5851646526,68.7346467895,65.37720794180001,66.9960472691,
20150212,67.0131884833,68.6480810737,65.62344613409999,67.4852120534,
20150213,67.5245080876,72.9357119902,66.8269728967,70.943411301,
20150214,70.9222312228,76.8720303595,70.4321312416,75.6158662078,
20150215,75.5984354021,79.9110769933,67.0114580094,68.97145159,
20150216,69.0306713535,70.77624607050001,67.2359524724,68.9471103791,
20150217,68.87255790020001,72.25585954600001,67.9257861471,70.9076028823,
20150218,70.9743739168,71.7829645422,67.785571873,69.1356913724,
20150219,69.1568401817,71.1462484366,68.5337782392,70.1119070347,
20150220,70.0469651944,72.0745954739,69.2021574807,70.6127418941,
20150221,70.5432006642,73.0377769461,69.56248004359999,70.30998563189999,
20150222,70.3430301612,71.4202247953,66.5685700233,67.74354420729999,
20150223,67.7801481078,70.96300953890001,66.60437328260001,69.5698918569,
20150224,69.7580326601,71.490036367,68.4602981667,69.915825748,
20150225,69.9638176324,71.3046237786,68.3860182653,69.7806220938,
20150226,69.796597296,70.9167462766,68.4644028009,69.6144662505,
20150227,69.5855812542,74.8593802285,69.2067992746,73.3758804338,
20150228,73.2335724528,74.2414121307,70.9220505512,72.9642294838,
20150301,73.3016247417,75.4872286595,69.8001632883,73.6839841083,
20150302,73.6696459517,77.02508907069999,71.89970441439999,76.14855739869999,
20150303,76.05603654560001,78.7910789187,72.1074238417,75.35761030329999,
20150304,74.8852338814,76.4752452958,71.2165473254,73.13286062350001,
20150305,73.0869956034,77.1660244261,70.535274928,75.4449462667,
20150306,75.2135861722,76.7447654413,72.319926142,73.7430890289,
20150307,73.68427182010001,75.7121705162,72.0721218935,74.1683651049,
