,10.0,20.0,30.0,40.0,50.0,60.0,70.0,port
0,-8.966994674489973,-6.68324000397403,-9.92177641655906,-5.4295850866469255,-7.861794945110883,-9.06913966828907,-7.731643247392911,winner
1,-10.880903384990278,-7.10284527151945,-4.857939326714097,-2.8880870496285564,-3.324700125422833,-4.712897729506138,-4.954437890595162,loser
2,5.6573,2.1156,-2.0093,-5.093,-2.4252,-2.2233,-3.927,w_l
3,-13.159591248445125,-8.612884382231831,-7.460324799376098,-6.08839229457425,-6.675206219213798,-2.144078081808587,-14.890668989244485,winner
4,-9.37477944606232,-7.466584182603987,-3.8695589620171775,-3.9577456944116602,-4.401958640721213,-1.11155884845332,-89.28576291198536,loser
5,-1.2042,-0.9321,-3.1511,-5.2977,-3.3869,-2.0847,-2.5172,w_l
6,-12.937111821808562,-7.197321134854344,-6.109245070296938,-6.112102315406015,-4.020895881029525,-31.59491256627131,-6.0122356279708375,winner
7,-8.375999754121594,-5.9688411725662585,-4.385649765554518,-3.0164591058878685,-2.340996578151421,-26.510657463484982,-4.531575305623823,loser
8,-6.0360000000000005,-4.0588,-1.6948,-3.3093,-2.8178,-6.4296,-7.4413,w_l
9,-13.0085992495924,-8.743175294683986,-4.6175209897724185,-9.343503645202599,-3.605876336522709,-6.013101978130622,-1.5373477867143959,winner
10,-6.837483570332565,-3.957278544724777,-3.6058946937316594,-6.229266271205368,-1.8235178583869216,-3.049772629642532,-0.8719262171062526,loser
11,-9.3203,-6.6468,-2.7528,-2.3066,-7.1318,-3.4449,-17.2793,w_l
